product,date,price,sales
wheat,2024-03-01,50,200
wheat,2024-03-02,55,180
wheat,2024-03-03,60,150
rice,2024-03-01,40,300
rice,2024-03-02,42,280
rice,2024-03-03,45,260
corn,2024-03-01,30,250
corn,2024-03-02,35,220
corn,2024-03-03,40,200
barley,2024-03-01,25,270
barley,2024-03-02,28,250
barley,2024-03-03,30,230
soybean,2024-03-01,60,180
soybean,2024-03-02,62,160
soybean,2024-03-03,65,150
millet,2024-03-01,20,300
millet,2024-03-02,25,270
millet,2024-03-03,30,250
sugarcane,2024-03-01,80,400
sugarcane,2024-03-02,85,380
sugarcane,2024-03-03,90,350
potato,2024-03-01,15,500
potato,2024-03-02,18,450
potato,2024-03-03,20,420
onion,2024-03-01,25,480
onion,2024-03-02,28,460
onion,2024-03-03,30,430
tomato,2024-03-01,18,420
tomato,2024-03-02,20,400
tomato,2024-03-03,25,380
carrot,2024-03-01,22,350
carrot,2024-03-02,25,330
carrot,2024-03-03,28,310
cabbage,2024-03-01,12,600
cabbage,2024-03-02,15,580
cabbage,2024-03-03,18,550
peas,2024-03-01,35,300
peas,2024-03-02,38,280
peas,2024-03-03,40,260
mustard,2024-03-01,50,250
mustard,2024-03-02,55,230
mustard,2024-03-03,60,200
cotton,2024-03-01,90,120
cotton,2024-03-02,95,110
cotton,2024-03-03,100,100
tea,2024-03-01,120,90
tea,2024-03-02,125,85
tea,2024-03-03,130,80
coffee,2024-03-01,150,75
coffee,2024-03-02,155,70
coffee,2024-03-03,160,65
apple,2024-03-01,30,100
apple,2024-03-02,35,120
apple,2024-03-03,40,150
grapes,2024-03-01,30,60
grapes,2024-03-02,35,70
grapes,2024-03-03,40,65